X,Y,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,25.56 
0.00 ,,1.22 
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
3.65 ,,
2.03 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.53 ,,
1.42 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
14.36 ,,
0.95 ,,
0.00 ,,
0.00 ,,
0.00 ,,
6.37 ,,
5.13 ,,
0.00 ,,
0.00 ,,
0.00 ,,
2.61 ,,
25.56 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
18.92 ,,
2.42 ,,
0.00 ,,
0.00 ,,
0.00 ,,
1.97 ,,
2.38 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.02 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.04 ,,
0.02 ,,
0.00 ,,
0.00 ,,
0.00 ,,
12.34 ,,
6.30 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
