X,Y,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.01 ,,2.25 
0.03 ,,0.51 
0.06 ,,
0.10 ,,
0.18 ,,
0.30 ,,
0.48 ,,
0.71 ,,
0.95 ,,
1.14 ,,
1.16 ,,
0.99 ,,
0.70 ,,
0.39 ,,
0.13 ,,
0.06 ,,
0.19 ,,
0.27 ,,
0.32 ,,
0.38 ,,
0.44 ,,
0.52 ,,
0.61 ,,
0.71 ,,
0.79 ,,
0.82 ,,
0.81 ,,
0.75 ,,
0.64 ,,
0.52 ,,
0.41 ,,
0.34 ,,
0.31 ,,
0.33 ,,
0.40 ,,
0.51 ,,
0.61 ,,
0.69 ,,
0.69 ,,
0.61 ,,
0.43 ,,
0.19 ,,
0.07 ,,
0.32 ,,
0.50 ,,
0.61 ,,
0.62 ,,
0.57 ,,
0.46 ,,
0.34 ,,
0.21 ,,
0.10 ,,
0.00 ,,
0.07 ,,
0.12 ,,
0.16 ,,
0.18 ,,
0.22 ,,
0.27 ,,
0.34 ,,
0.46 ,,
0.65 ,,
0.91 ,,
1.26 ,,
1.68 ,,
2.06 ,,
2.25 ,,
2.10 ,,
1.65 ,,
1.07 ,,
0.48 ,,
0.08 ,,
0.64 ,,
1.22 ,,
1.71 ,,
1.88 ,,
1.63 ,,
1.16 ,,
0.73 ,,
0.43 ,,
0.24 ,,
0.13 ,,
0.06 ,,
0.03 ,,
0.01 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
