X,Y,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,3.22 
0.00 ,,0.27 
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.05 ,,
0.05 ,,
0.06 ,,
0.07 ,,
0.07 ,,
0.08 ,,
0.12 ,,
0.12 ,,
0.13 ,,
0.15 ,,
0.16 ,,
0.16 ,,
0.45 ,,
0.21 ,,
0.16 ,,
0.06 ,,
0.08 ,,
0.24 ,,
0.75 ,,
0.51 ,,
0.63 ,,
0.74 ,,
0.83 ,,
0.93 ,,
0.84 ,,
1.17 ,,
1.10 ,,
0.86 ,,
1.02 ,,
1.17 ,,
1.56 ,,
3.22 ,,
0.51 ,,
0.18 ,,
0.08 ,,
0.05 ,,
0.03 ,,
0.00 ,,
0.02 ,,
0.01 ,,
0.00 ,,
0.00 ,,
0.01 ,,
0.00 ,,
0.00 ,,
0.01 ,,
0.00 ,,
0.00 ,,
0.01 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
0.00 ,,
